identifier,type,currentTag,nfcSerial,locationName,status,keyCount,fobCount,keyDescription,address,notes
A24-118,Night Shift,,,Van 2,Present,1,2,,"Scottish Ballet, 25 Albert Drive, Glasgow, G41 2PE",
A24-119,Day Shift,,,No Keys Held,Present,0,0,,"Collagen Solutions, 3 Robroyston Oval, Pavilion 1, Robroyston, Glasgow G33 1AP",
A24-119,Night Shift,,,No Keys Held,Present,0,0,,"Collagen Solutions, 3 Robroyston Oval, Pavilion 1, Robroyston, Glasgow G33 1AP",
A24-120,Day Shift,,,No Keys Held,Present,0,0,,"5 Robroyston Oval Pavilion 2, Robroyston, Glasgow G33 1AP",
A24-120,Night Shift,,,No Keys Held,Present,0,0,,"5 Robroyston Oval Pavilion 2, Robroyston, Glasgow G33 1AP",
A24-121,Day Shift,,,No Keys Held,Present,0,0,,"7 Robroyston Oval, Orion House, Robroyston, Glasgow G33 1AP",
A24-121,Night Shift,,,No Keys Held,Present,0,0,,"7 Robroyston Oval, Orion House, Robroyston, Glasgow G33 1AP",
A24-123,Day Shift,,,Van 1,Present,4,2,,"Eastpark in Scotland, 1092 Maryhill Road, Glasgow, G20 9TD",
A24-123,Night Shift,,,Van 2,Present,5,2,,"Eastpark in Scotland, 1092 Maryhill Road, Glasgow, G20 9TD",
A24-124,Day Shift,,,Van 1,Present,2,0,,"Healthy & Happy, 18 Farmeloan Road, Rutherglen, G73 1DL",
A24-124,Night Shift,,,Van 2,Present,1,0,,"Healthy & Happy, 18 Farmeloan Road, Rutherglen, G73 1DL",
A24-126,Day Shift,,,Van 1,Present,5,1,,"The Beacon, 176 St Vincent Street, Glasgow, G2 5SG",
A24-126,Night Shift,,,Van 2,Present,5,1,,"The Beacon, 176 St Vincent Street, Glasgow, G2 5SG",
A24-127,Day Shift,,,Van 1,Present,1,0,,"Alan House, 25 Bothwell Street , Glasgow, G2 6NL",
A24-127,Night Shift,,,Van 2,Present,2,1,,"Alan House, 25 Bothwell Street , Glasgow, G2 6NL",
A24-128,Day Shift,,,Van 1,Present,0,1,,"145 St Vincent St, Glasgow G2 5JF",
A24-128,Night Shift,,,Van 2,Present,1,1,,"145 St Vincent St, Glasgow G2 5JF",
A24-129,Day Shift,,,No Keys Held,Present,0,0,,"Festival House, 177 West George St, Glasgow G2 2LB",
A24-129,Night Shift,,,No Keys Held,Present,0,0,,"Festival House, 177 West George St, Glasgow G2 2LB",
A24-130,Day Shift,,,Van 1,Present,1,0,,"The Gatehouse, 201 West George St, Glasgow, G2 2LW",
A24-130,Night Shift,,,Van 2,Present,2,1,,"The Gatehouse, 201 West George St, Glasgow, G2 2LW",
A24-132,Day Shift,,,Van 1,Present,3,1,,"The Mortgage Lender, 50 Waterloo Street, Glasgow G2 6HQ",
A24-132,Night Shift,,,Van 2,Present,3,2,,"The Mortgage Lender, 50 Waterloo Street, Glasgow G2 6HQ",
A24-134,Day Shift,,,No Keys Held,Present,0,0,,Routes To Work South (Pest Control Contract),
A24-134,Night Shift,,,No Keys Held,Present,0,0,,Routes To Work South (Pest Control Contract),
A24-135,Day Shift,,,Van 1,Present,0,3,,"Flemington House, 110 Flemington Street, Springburn, Glasgow G21 4TD
",
A24-135,Night Shift,,,Van 2,Present,1,2,,"Flemington House, 110 Flemington Street, Springburn, Glasgow G21 4TD
",
A24-138,Day Shift,,,Van 1,Present,1,1,,"100 Berkeley St, Glasgow, G3 7HU",
A24-138,Night Shift,,,Van 2,Present,1,1,,"100 Berkeley St, Glasgow, G3 7HU",
A24-140,Day Shift,,,Van 1,Present,2,1,,"Maryhill Housing Association, 45 Garrioch Road, Glasgow, G20 8RG",
A24-140,Night Shift,,,Van 2,Present,3,1,,"Maryhill Housing Association, 45 Garrioch Road, Glasgow, G20 8RG",
A24-141,Day Shift,,,Van 1,Present,1,1,,"23 Nelson Mandela Place, Glasgow, G2 1QY",
A24-141,Night Shift,,,No Keys Held,Present,0,0,,"23 Nelson Mandela Place, Glasgow, G2 1QY",
A24-142,Day Shift,,,No Keys Held,Present,0,0,,"4 Glassford Street, Glasgow, G1 5RY",
A24-142,Night Shift,,,No Keys Held,Present,0,0,,"4 Glassford Street, Glasgow, G1 5RY",
